routeId,sourceId,selectionMode,selectedKnowledgePointIds,questionType,setKind,generationPatternGroupIds,compatiblePatternSpecIds,currentVerifiedMaxQuestionCount,currentQualityStatus,currentUniqueItemSetCount,r04GapCodes
pgc_r03_g5a_u02_5a02_numeric_8a2de9f2039f,g5a_u02_5a02,singleKnowledgePoint,kp_g5a_u02_greatest_common_factor,numeric,single-form,pg_g5a_u02_greatest_common_factor,ps_g5a_u02_greatest_common_factor,9,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20
pgc_r03_g5a_u02_5a02_concept_4d0ca55850d4,g5a_u02_5a02,mixedKnowledgePointsSameUnit,kp_g5a_u02_factor_criterion_multiplication_division_equivalence|kp_g5a_u02_factor_enumeration_by_division|kp_g5a_u02_factor_enumeration_by_multiplication_pairs|kp_g5a_u02_factor_pair_order_and_symmetry|kp_g5a_u02_missing_factor_reconstruction|kp_g5a_u02_divisibility_factor_membership_judgement|kp_g5a_u02_equal_partition_factor_application|kp_g5a_u02_number_theory_problem_type_discrimination|kp_g5a_u02_inverse_reasoning_from_complete_factor_list|kp_g5a_u02_remainder_transfer_under_divisor_relation|kp_g5a_u02_common_factor_concept|kp_g5a_u02_common_factor_enumeration|kp_g5a_u02_greatest_common_factor|kp_g5a_u02_maximum_equal_grouping_gcf_application|kp_g5a_u02_possible_equal_packaging_common_factor_application|kp_g5a_u02_rectangle_equal_square_side_lengths|kp_g5a_u02_square_tile_area_possibilities|kp_g5a_u02_multi_constraint_digit_code_number_theory,concept,mixed-all,pg_g5a_u02_factor_relation_equivalence|pg_g5a_u02_factor_membership_judgement|pg_g5a_u02_problem_type_discrimination|pg_g5a_u02_common_factor_concept,ps_g5a_u02_factor_relation_equivalence|ps_g5a_u02_divisor_candidate_selection|ps_g5a_u02_factor_statement_judgement|ps_g5a_u02_problem_type_classification|ps_g5a_u02_common_factor_concept_identification,16,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20
pgc_r03_g5a_u02_5a02_numeric_f80d48c9d6f1,g5a_u02_5a02,mixedKnowledgePointsSameUnit,kp_g5a_u02_factor_criterion_multiplication_division_equivalence|kp_g5a_u02_factor_enumeration_by_division|kp_g5a_u02_factor_enumeration_by_multiplication_pairs|kp_g5a_u02_factor_pair_order_and_symmetry|kp_g5a_u02_missing_factor_reconstruction|kp_g5a_u02_divisibility_factor_membership_judgement|kp_g5a_u02_equal_partition_factor_application|kp_g5a_u02_number_theory_problem_type_discrimination|kp_g5a_u02_inverse_reasoning_from_complete_factor_list|kp_g5a_u02_remainder_transfer_under_divisor_relation|kp_g5a_u02_common_factor_concept|kp_g5a_u02_common_factor_enumeration|kp_g5a_u02_greatest_common_factor|kp_g5a_u02_maximum_equal_grouping_gcf_application|kp_g5a_u02_possible_equal_packaging_common_factor_application|kp_g5a_u02_rectangle_equal_square_side_lengths|kp_g5a_u02_square_tile_area_possibilities|kp_g5a_u02_multi_constraint_digit_code_number_theory,numeric,mixed-all,pg_g5a_u02_factor_enumeration_division|pg_g5a_u02_factor_enumeration_pairs|pg_g5a_u02_factor_order_symmetry|pg_g5a_u02_common_factor_enumeration|pg_g5a_u02_greatest_common_factor,ps_g5a_u02_factor_enumeration_trial_division|ps_g5a_u02_factor_pair_enumeration|ps_g5a_u02_factor_list_from_pairs|ps_g5a_u02_factor_order_and_symmetry|ps_g5a_u02_common_factor_enumeration|ps_g5a_u02_greatest_common_factor,12,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20
pgc_r03_g5a_u03_5a03a_numeric_0701fe5ec85a,g5a_u03_5a03a,sourceUnit,,numeric,source-unit,,ps_g5a_u03a_relation_from_product|ps_g5a_u03a_complete_factor_multiple_statement|ps_g5a_u03a_divisibility_classification_23510|ps_g5a_u03a_missing_digit_divisibility|ps_g5a_u03a_exact_grouping_yes_no|ps_g5a_u03a_exact_grouping_candidate_sizes|ps_g5a_u03a_enumerate_first_multiples|ps_g5a_u03a_enumerate_multiples_after|ps_g5a_u03a_list_multiples_in_interval|ps_g5a_u03a_nearest_multiple|ps_g5a_u03a_count_multiples_in_interval|ps_g5a_u03a_nth_multiple|ps_g5a_u03a_classify_divisor_multiple|ps_g5a_u03a_partition_candidate_set,14,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20
pgc_r03_g5a_u03_5a03a_numeric_884f2b2aa17b,g5a_u03_5a03a,singleKnowledgePoint,kp_g5a_u03a_factor_multiple_relation,numeric,single-form,pg_g5a_u03a_factor_multiple_relation,ps_g5a_u03a_relation_from_product|ps_g5a_u03a_complete_factor_multiple_statement,1,BOUNDED_DIVERSITY,5,CAPACITY_BELOW_20|BOUNDED_DIVERSITY
pgc_r03_g5a_u03_5a03a_numeric_9b7cb4729cf3,g5a_u03_5a03a,singleKnowledgePoint,kp_g5a_u03a_exact_grouping_feasibility,numeric,single-form,pg_g5a_u03a_exact_grouping_feasibility,ps_g5a_u03a_exact_grouping_yes_no|ps_g5a_u03a_exact_grouping_candidate_sizes,14,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20
pgc_r03_g5a_u03_5a03a_numeric_378c1087489c,g5a_u03_5a03a,singleKnowledgePoint,kp_g5a_u03a_multiple_identify_enumerate,numeric,single-form,pg_g5a_u03a_multiple_identify_enumerate,ps_g5a_u03a_enumerate_first_multiples|ps_g5a_u03a_enumerate_multiples_after,2,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20
pgc_r03_g5a_u03_5a03a_numeric_59522918b6b0,g5a_u03_5a03a,singleKnowledgePoint,kp_g5a_u03a_divisor_multiple_classification,numeric,single-form,pg_g5a_u03a_divisor_multiple_classification,ps_g5a_u03a_classify_divisor_multiple|ps_g5a_u03a_partition_candidate_set,5,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20
pgc_r03_g5a_u03_5a03a_numeric_b14e6d7a88de,g5a_u03_5a03a,mixedKnowledgePointsSameUnit,kp_g5a_u03a_factor_multiple_relation|kp_g5a_u03a_divisibility_rules|kp_g5a_u03a_exact_grouping_feasibility|kp_g5a_u03a_multiple_identify_enumerate|kp_g5a_u03a_bounded_or_nearest_multiple|kp_g5a_u03a_count_multiples_interval|kp_g5a_u03a_divisor_multiple_classification,numeric,mixed-all,pg_g5a_u03a_factor_multiple_relation|pg_g5a_u03a_divisibility_rules|pg_g5a_u03a_exact_grouping_feasibility|pg_g5a_u03a_multiple_identify_enumerate|pg_g5a_u03a_bounded_or_nearest_multiple|pg_g5a_u03a_count_multiples_interval|pg_g5a_u03a_divisor_multiple_classification,ps_g5a_u03a_relation_from_product|ps_g5a_u03a_complete_factor_multiple_statement|ps_g5a_u03a_divisibility_classification_23510|ps_g5a_u03a_missing_digit_divisibility|ps_g5a_u03a_exact_grouping_yes_no|ps_g5a_u03a_exact_grouping_candidate_sizes|ps_g5a_u03a_enumerate_first_multiples|ps_g5a_u03a_enumerate_multiples_after|ps_g5a_u03a_list_multiples_in_interval|ps_g5a_u03a_nearest_multiple|ps_g5a_u03a_count_multiples_in_interval|ps_g5a_u03a_nth_multiple|ps_g5a_u03a_classify_divisor_multiple|ps_g5a_u03a_partition_candidate_set,7,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20
pgc_r03_g5a_u03_5a03a1_numeric_54b655195245,g5a_u03_5a03a1,sourceUnit,,numeric,source-unit,,ps_g5a_u03a1_lcm_direct|ps_g5a_u03a1_first_common_multiples|ps_g5a_u03a1_bounded_common_multiples|ps_g5a_u03a1_count_common_multiples_interval|ps_g5a_u03a1_factor_multiple_statement_truth|ps_g5a_u03a1_choose_correct_relation_statement|ps_g5a_u03a1_minimum_common_group_total|ps_g5a_u03a1_possible_common_totals_in_range|ps_g5a_u03a1_construct_number_divisibility|ps_g5a_u03a1_possible_digits_for_divisibility,10,DIVERSE_PARAMETER_GENERATOR,10,CAPACITY_BELOW_20
